id,réf,nomducostume,epoque,epoque2,sexe,couleur_dominante,couleurs_autres,type,voile,quantite,lieu,bijoux
160,COI160,Casquette marron foncé ,,,,marron,,,non,1,BCOI12,sans_bijoux
161,COI161,Beret gris clair ,,,,gris,,,non,1,BCOI12,sans_bijoux
162,COI162,Moumoutte de neige noir avec visière,,,,noir,,,non,1,BCOI12,sans_bijoux
163,COI163,Bonnet femme beige,,,,marron,,,non,1,BCOI12,sans_bijoux
164,COI164,Chapeau vert foncé ruban marron,,,,vert,marron,,non,1,BCOI12,sans_bijoux
165,COI165,Casquette police ptt bleu foncé,,,,bleu,rouge,,non,1,BCOI12,sans_bijoux
166,COI166,Beret gris foncé à carreaux,,,,gris,,,non,1,BCOI12,sans_bijoux
167,COI167,Beret basque bleu foncé ,,,,bleu,,,non,1,BCOI12,sans_bijoux
168,COI168,Beret basque bleu foncé grand,,,,bleu,,,non,1,BCOI12,sans_bijoux
169,COI169,Chapeau bleu foncé avec élastique ,,,,bleu,blanc,,non,1,BCOI12,sans_bijoux
170,COI170,Chapeau police bleu et rouge,,,,bleu,rouge,,non,3,BCOI12,sans_bijoux
171,COI171,Beret beige marron,,,,marron,,,non,1,BCOI12,sans_bijoux
172,COI172,Chapeau type marine bleu foncé,,,,bleu,,,non,1,BCOI12,sans_bijoux
173,COI173,Casquette marron foncé ,,,,marron,,,non,1,BCOI12,sans_bijoux
174,COI174,Chapeau fourrure noir avec ruban noir,,,,noir,,,non,1,BCOI12,sans_bijoux
175,COI175,Beret bleu foncé à carreaux,,,,bleu,,,non,1,BCOI12,sans_bijoux
176,COI176,Chapeau femme enterrement noir avec filet et ruban et élastique,,,,noir,,,non,1,BCOI12,sans_bijoux
177,COI177,Chapeau noir étrange ,,,,noir,,,non,1,BCOI12,sans_bijoux
178,COI178,Beret marron beige avec bouton à la visière,,,,marron,,,non,1,BCOI12,sans_bijoux
179,COI179,Beret basque noir ,,,,noir,,,non,1,BCOI12,sans_bijoux
180,COI180,Beret blanc avec bouton sur la visière,,,,blanc,,,non,1,BCOI12,sans_bijoux
181,COI181,Beret gris foncé avec bouton à la visière,,,,gris,,,non,1,BCOI12,sans_bijoux
182,COI182,Beret beige bleu blanc à carreaux avec bouton,,,,beige,bleu marron,,non,1,BCOI12,sans_bijoux
183,COI183,Beret gris à carreaux,,,,gris,,,non,1,BCOI12,sans_bijoux
184,COI184,Beret gris en laine,,,,gris,,,non,1,BCOI12,sans_bijoux
185,COI185,Beret basque noir grand,,,,noir,,,non,1,BCOI12,sans_bijoux
186,COI186,Beret beige vert avec bouton,,,,beige,,,non,1,BCOI12,sans_bijoux
187,COI187,Beret marron avec bouton,,,,marron,,,non,1,BCOI12,sans_bijoux
188,COI188,Beret vert kaki ,,,,vert,,,non,1,BCOI12,sans_bijoux
189,COI189,Beret laine marron gris noir avec bouton,,,,gris,marron noir,,non,1,BCOI12,sans_bijoux
190,COI190,Beret basque bleu foncé ,,,,bleu,,,non,1,BCOI12,sans_bijoux
191,COI191,Chapeau paille beige et bleu avec fleurs ,,,,beige,bleu rose vert,,non,1,BCHA1,sans_bijoux
192,COI192,Chapeau paille beige et noir avec fleurs,,,,beige,noir rose vert blanc,,non,1,BCHA1,sans_bijoux
193,COI193,Chapeau paille beige et vert avec fleurs,,,,beige,vert rose,,non,1,BCHA1,sans_bijoux
194,COI194,Chapeau paille avec ruban jaune et fleurs multicolores ,,,,beige,jaune blanc rose bleu,,non,1,BCHA1,sans_bijoux
195,COI195,Chapeau paille beige et noir violet ,,,,beige,noir blanc violet,,non,1,BCHA1,sans_bijoux
196,COI196,Chapeau paille avec ruban jaune ,,,,beige,jaune,,non,1,BCHA1,sans_bijoux
197,COI197,Chapeau paille beige et bleu avec citrons ,,,,beige,bleu,,non,1,BCHA1,sans_bijoux
198,COI198,Chapeau paille noir avec fleur en tissu et filet blanche ,,,,noir,blanc,,non,1,BCHA1,sans_bijoux
199,COI199,Chapeau noir avec traine noir enterrement,,,,noir,,,oui,1,BCHA1,sans_bijoux
200,COI200,Chapeau paille noir  avec rubans noir et blanc,,,,noir,blanc,,non,1,BCHA1,sans_bijoux
201,COI201,Chapeau paille rouge ,,,,rouge ,,,non,1,BCHA1,sans_bijoux
202,COI202,Chapeau paille beige sans décor,,,,beige,,,non,1,BCHA1,sans_bijoux
203,COI203,Chapeau paille beige et rouge à fleurs avec bandeau rouge à fleur ,,,,beige,rouge,,non,1,BCHA1,sans_bijoux
204,COI204,Chapeau paille beige et multicolore avec bandeau vert clair ,,,,beige,vert,,non,1,BCHA1,sans_bijoux
205,COI205,Chapeau paille avec bandeau noir gris violet,,,,beige,violet,,non,1,BCHA1,sans_bijoux
206,COI206,Chapeau paille beige et bleu vert avec fleurs et bonbons ,,,,beige,bleu jaune rouge,,non,1,BCHA1,sans_bijoux
207,COI207,Chapeau paille beige recouvert de filet noir et ruban rouge bordeaux ,,,,beige,noir rouge,,non,1,BCHA1,sans_bijoux
208,COI208,Chapeau paille beige avec ruban marron et à fleurs,,,,beige,marron noir jaune rouge,,non,1,BCHA1,sans_bijoux
209,COI209,Chapeau paille beige avec ruban vert et blanc,,,,beige,vert blanc,,non,1,BCHA1,sans_bijoux
210,COI210,Chapeau paille recouvert de gris et marron élégant,,,,gris,marron,,non,1,BCHA1,sans_bijoux
211,COI211,Képi gendarme bleu,,,,bleu,,,non,12,BGEN2,sans_bijoux
212,COI212,Képi gendarme gradé noir et or,,,,noir,or,,non,1,BGEN2,sans_bijoux
213,COI213,Képi gendarme gradé rouge et or,,,,rouge,or noir,,non,1,BGEN2,sans_bijoux
214,COI214,Képi gendarme noir et bleu foncé souple,,,,bleu,noir,,non,1,BGEN2,sans_bijoux
215,COI215,Coiffe femme avec nœud bleu vert,,,,bleu,,,non,1,BCOI12,sans_bijoux
216,COI216,Chapeau homme avec ruban gris foncé ,,,,gris,,,non,1,BCD1,sans_bijoux
217,COI217,Chapeau femme fourrure et tissu marron ,,,,marron,,,non,1,BCD1,sans_bijoux
218,COI218,Coiffe femme noire avec élastique ,,,,noir,,,non,1,BCD1,sans_bijoux
